point_id,distributor,point
451,SPS Sutrapur,SPS Sutrapur Shipment
84,Zawad Enterprise,Ranirhat
450,Agrani Trading Corporation Ltd. (Matuail),Matuail Shipment
2,"Agrani Trading Corporation, Gulshan",Gulshan
8,"Agrani Trading Corporation, Mogbazar",Matuail
9,"Agrani Trading Corporation, Mogbazar",Jatrabari
10,"Agrani Trading Corporation, Mogbazar",Motijheel
11,The Jamal & Co - Narayanganj,Adamji
12,The Jamal & Co - Narayanganj,Jurain
13,The Jamal & Co - Narayanganj,Madanpur
14,The Jamal & Co - Narayanganj,Munshiganj
15,The Jamal & Co - Narayanganj,Nabiganj (DE)
16,The Jamal & Co - Narayanganj,Fatullah
17,The Jamal & Co - Narayanganj,Narayanganj
18,Alam Corporation Ltd.,Gendaria
19,Alam Corporation Ltd.,Kamrangirchar
20,Alam Corporation Ltd.,Kotwali
21,Sales Promotion Service,Nawabganj
22,Sales Promotion Service,Sreenagar
23,Sales Promotion Service,Taltola
24,Sales Promotion Service,Ati Bazar
25,Sales Promotion Service,Keraniganj
26,Sales Promotion Service,Moulvibazar (DHK)
27,Sales Promotion Service,Sutrapur
28,The Jamal & Co - Dhanmondi,Dhanmondi
29,The Jamal & Co - Dhanmondi,Mohammadpur
30,"Agrani Trading Company Ltd, Savar",DEPZ
31,"Agrani Trading Company Ltd, Savar",Dhamrai
32,"Agrani Trading Company Ltd, Savar",Zirani
33,"Agrani Trading Company Ltd, Savar",Jhitka
34,"Agrani Trading Company Ltd, Savar",Manikganj
35,"Agrani Trading Company Ltd, Savar",Mohadevpur (DW)
36,"Agrani Trading Company Ltd, Savar",Singair
37,"Agrani Trading Company Ltd, Savar",Hemayetpur
38,"Agrani Trading Company Ltd, Savar",Savar
39,"Agrani Trading Company Ltd, Savar",Zirabo
41,"Agrani Trading Company Ltd, Tangail",Madhupur
42,"Agrani Trading Company Ltd, Tangail",Sakhipur (DN)
43,"Agrani Trading Company Ltd, Tangail",Sarishabari
44,"Agrani Trading Company Ltd, Tangail",Ghatail
45,"Agrani Trading Company Ltd, Tangail",Mirzapur
46,"Agrani Trading Company Ltd, Tangail",Nagarpur
47,"Agrani Trading Company Ltd, Tangail",Tangail
48,Azahar Trading Ltd.,Board Bazar
49,Azahar Trading Ltd.,Kaliganj (DW)
50,Azahar Trading Ltd.,Mirer Bazar
51,Azahar Trading Ltd.,Purbachal
52,Azahar Trading Ltd.,Tongi
53,Azahar Trading Ltd.,Khilkhet
54,Azahar Trading Ltd.,Mazar Chowrasta
55,Azahar Trading Ltd.,Nikunja
56,Azahar Trading Ltd.,Sector-14
58,M/S. A.M.I & Company,Bashon
59,M/S. A.M.I & Company,Joydebpur
